name,kind,city,region,country,date_granted,grant,address,lat,lon,wikipedia_url,image_source,image_title,image_url,photographer,licence,licence_url,credit_page,postable
Curepipe,public,Curepipe,Africa,Mauritius,"Feb 26, 1914","$8,765",,,,,wikipedia-list,File:Curepipe_carnegie_library_(11291448586).jpg,https://upload.wikimedia.org/wikipedia/commons/6/66/Curepipe_carnegie_library_%2811291448586%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,"JuliaC2006 from Rochester, UK",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Curepipe_carnegie_library_(11291448586).jpg,yes
Victoria,public,Victoria,Africa,Seychelles,"Aug 6, 1907","$9,740",,,,,,,,,,,,no
Barberton,public,Barberton,Africa,South Africa,"Dec 22, 1911","$4,385",,,,,,,,,,,,no
Benoni,public,Benoni,Africa,South Africa,"Dec 8, 1913","$13,330",,,,,,,,,,,,no
Germiston,public,Germiston,Africa,South Africa,"Mar 16, 1915","$26,470",,,,,,,,,,,,no
Harrismith,public,Harrismith,Africa,South Africa,"Nov 14, 1907","$9,825",,,,,,,,,,,,no
Hopetown,public,Hopetown,Africa,South Africa,"Mar 21, 1908","$4,850",,,,,,,,,,,,no
Krugersdorp,public,Krugersdorp,Africa,South Africa,"May 3, 1917","$15,840",,,,,,,,,,,,no
Moorreesburg,public,Moorreesburg,Africa,South Africa,"Aug 21, 1911","$7,290","On Church Street, between the Dutch Reformed Church and Townhall.",,,,wikipedia-list,File:Carnegie_library_002.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f0/Carnegie_library_002.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Christopher Murphy,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Carnegie_library_002.jpg,yes
Muizenberg,public,Muizenberg,Africa,South Africa,"Jun 25, 1909","$7,800",Main Road,,,,wikipedia-list,File:Old_Police_Station_186_Main_Road_Muizenberg_Cape_Town_-_Side_view_-_adjoining_to_the_right_is_the_Od_Magistrate's_Court.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Old_Police_Station_186_Main_Road_Muizenberg_Cape_Town_-_Side_view_-_adjoining_to_the_right_is_the_Od_Magistrate%27s_Court.JPG/1920px-Old_Police_Station_186_Main_Road_Muizenberg_Cape_Town_-_Side_view_-_adjoining_to_the_right_is_the_Od_Magistrate%27s_Court.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Debbie Louise Lloyd,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Old_Police_Station_186_Main_Road_Muizenberg_Cape_Town_-_Side_view_-_adjoining_to_the_right_is_the_Od_Magistrate%27s_Court.JPG,yes
Newcastle,public,Newcastle,Africa,South Africa,"Dec 8, 1913","$7,290",,,,,commons-namesearch,File:9 2 429 0008-Carnegie Library-Voortrekker Street-Newcastle-s.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9b/9_2_429_0008-Carnegie_Library-Voortrekker_Street-Newcastle-s.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Janek Szymanowski,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:9_2_429_0008-Carnegie_Library-Voortrekker_Street-Newcastle-s.jpg,yes
Potchefstroom,public,Potchefstroom,Africa,South Africa,"Apr 30, 1912","$12,175",,,,,wikipedia-list,File:Carnegie_Library_Potchefstroom-001.jpg,https://upload.wikimedia.org/wikipedia/commons/2/21/Carnegie_Library_Potchefstroom-001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Leo za1,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Carnegie_Library_Potchefstroom-001.jpg,yes
Standerton,public,Standerton,Africa,South Africa,"Dec 22, 1911","$7,300",,,,,,,,,,,,no
Vryheid,public,Vryheid,Africa,South Africa,"Oct 15, 1906","$7,300",,,,,,,,,,,,no
