name,kind,city,region,country,date_granted,grant,date_opened,address,lat,lon,image_file,wikipedia_url,notes,section,source_page
Curepipe,public,Curepipe,Africa,Mauritius,"Feb 26, 1914","$8,765",,,,,Curepipe_carnegie_library_(11291448586).jpg,,,,List of Carnegie libraries in Africa
Victoria,public,Victoria,Africa,Seychelles,"Aug 6, 1907","$9,740",,,,,,,,,List of Carnegie libraries in Africa
Barberton,public,Barberton,Africa,South Africa,"Dec 22, 1911","$4,385",,,,,,,,,List of Carnegie libraries in Africa
Benoni,public,Benoni,Africa,South Africa,"Dec 8, 1913","$13,330",,,,,,,,,List of Carnegie libraries in Africa
Germiston,public,Germiston,Africa,South Africa,"Mar 16, 1915","$26,470",,,,,,,Currently used as a restaurant,,List of Carnegie libraries in Africa
Harrismith,public,Harrismith,Africa,South Africa,"Nov 14, 1907","$9,825",,,,,,,,,List of Carnegie libraries in Africa
Hopetown,public,Hopetown,Africa,South Africa,"Mar 21, 1908","$4,850",,,,,,,,,List of Carnegie libraries in Africa
Krugersdorp,public,Krugersdorp,Africa,South Africa,"May 3, 1917","$15,840",,,,,,,,,List of Carnegie libraries in Africa
Moorreesburg,public,Moorreesburg,Africa,South Africa,"Aug 21, 1911","$7,290",,"On Church Street, between the Dutch Reformed Church and Townhall.",,,Carnegie_library_002.jpg,,Currently used as a tourist information bureau for visitors to the town.,,List of Carnegie libraries in Africa
Muizenberg,public,Muizenberg,Africa,South Africa,"Jun 25, 1909","$7,800",,Main Road,,,Old_Police_Station_186_Main_Road_Muizenberg_Cape_Town_-_Side_view_-_adjoining_to_the_right_is_the_Od_Magistrate's_Court.JPG,,"Became a police station, now a police museum",,List of Carnegie libraries in Africa
Newcastle,public,Newcastle,Africa,South Africa,"Dec 8, 1913","$7,290",,,,,,,,,List of Carnegie libraries in Africa
Potchefstroom,public,Potchefstroom,Africa,South Africa,"Apr 30, 1912","$12,175",,,,,Carnegie_Library_Potchefstroom-001.jpg,,,,List of Carnegie libraries in Africa
Standerton,public,Standerton,Africa,South Africa,"Dec 22, 1911","$7,300",,,,,,,,,List of Carnegie libraries in Africa
Vryheid,public,Vryheid,Africa,South Africa,"Oct 15, 1906","$7,300",,,,,,,,,List of Carnegie libraries in Africa
Anniston,public,Anniston,Alabama,United States,"May 15, 1916","$20,000",,Wilmer Ave. & E 10th St.,33.6572000,-85.8284083,"Anniston,_Alabama_Carnegie_library.png",,Open 1918–1965,Public libraries,List of Carnegie libraries in Alabama
Avondale,public,Avondale,Alabama,United States,"Dec 13, 1907","$10,000",,,,,,,Open 1908–1961,Public libraries,List of Carnegie libraries in Alabama
Bessemer,public,Bessemer,Alabama,United States,"Feb 13, 1906","$10,000",,321 18th St. N,33.4022833,-86.9546833,,,,Public libraries,List of Carnegie libraries in Alabama
Decatur,public,Decatur,Alabama,United States,"Feb 12, 1903","$12,000",,207 Church St. NE,34.6125306,-86.982000,,,Open 1904–1976,Public libraries,List of Carnegie libraries in Alabama
Ensley,public,Ensley,Alabama,United States,"Mar 25, 1905","$10,000",,Corner of Avenue H and 18th St.,,,,,Open 1906–1955,Public libraries,List of Carnegie libraries in Alabama
Eufaula Carnegie Library,public,Eufaula,Alabama,United States,"Feb 2, 1903","$10,000",,217 N Eufaula Ave.,31.8967972,-85.1456528,Eufaula_Carnegie_Library.JPG,https://en.wikipedia.org/wiki/Eufaula_Carnegie_Library,Contributing building in Seth Lore and Irwinton Historic District,Public libraries,List of Carnegie libraries in Alabama
Gadsden,public,Gadsden,Alabama,United States,"Nov 18, 1903","$10,000",,701 Forrest Ave.,34.0225472,-86.0454583,,,Open 1906–1964,Public libraries,List of Carnegie libraries in Alabama
Huntsville,public,Huntsville,Alabama,United States,"May 8, 1914","$12,500",,,,,,https://en.wikipedia.org/wiki/Huntsville_Madison_County_Public_Library,Open 1916–1966,Public libraries,List of Carnegie libraries in Alabama
Montgomery,public,Montgomery,Alabama,United States,"Feb 13, 1901","$50,000",,100 S Lawrence St.,32.3768639,-86.3062333,Carnegie_Library_Montgomery.jpg,,,Public libraries,List of Carnegie libraries in Alabama
Selma,public,Selma,Alabama,United States,"Apr 13, 1903","$11,800",,912 Selma Avenue,32.4082083,-87.0218194,Carnegie_Library_Selma.jpg,,,Public libraries,List of Carnegie libraries in Alabama
Talladega,public,Talladega,Alabama,United States,"Feb 13, 1906","$12,500",,200 South St. E,33.4337861,-86.099833,Talladega_Public_Library_Talladega_Alabama_USA.jpg,,,Public libraries,List of Carnegie libraries in Alabama
Troy,public,Troy,Alabama,United States,"Apr 6, 1908","$10,000",,306 E Academy St.,31.8099500,-85.969111,Troy_Alabama_Carnegie_Library.jpg,,,Public libraries,List of Carnegie libraries in Alabama
Union Springs,public,Union Springs,Alabama,United States,"Jan 6, 1911","$7,000",,103 Prairie St. N,32.1412611,-85.7161056,,,,Public libraries,List of Carnegie libraries in Alabama
West End,public,West End,Alabama,United States,"Feb 1, 1909","$10,000",,Tuscaloosa Ave. SW & 13th St. SW,33.4935944,-86.8535333,,,Open 1912–1962,Public libraries,List of Carnegie libraries in Alabama
Alabama Agricultural and Mechanical University,academic,Normal,Alabama,United States,"Mar 10, 1904","$16,540",,Buchanan Way,34.7847417,-86.5693750,AAMU_Carnegie_Library_Dec10.jpg,https://en.wikipedia.org/wiki/Alabama_Agricultural_and_Mechanical_University,,Academic libraries,List of Carnegie libraries in Alabama
Alabama Polytechnic Institute,academic,Auburn,Alabama,United States,"Mar 27, 1905","$30,000",,W. Thatch Avenue,32.6038500,-85.4836556,Mary_E._Martin_Hall_-_Auburn_University_-_IMG_2800.JPG,https://en.wikipedia.org/wiki/Auburn_University,"Now Martin Hall, houses offices",Academic libraries,List of Carnegie libraries in Alabama
Judson College,academic,Marion,Alabama,United States,"Mar 12, 1906","$12,500",,,,,,https://en.wikipedia.org/wiki/Judson_College_(Alabama),"Now Bean Hall, houses Alabama Women's Hall of Fame",Academic libraries,List of Carnegie libraries in Alabama
Talladega College,academic,Talladega,Alabama,United States,"Jan 16, 1904","$15,000",,,,,"Carnegie_Library,_Talladega_College.jpg",https://en.wikipedia.org/wiki/Talladega_College,Burned in 1963,Academic libraries,List of Carnegie libraries in Alabama
Tuskegee University,academic,Tuskegee,Alabama,United States,"Dec 20, 1900","$20,000",,,,,Carnegie_Library_Tuskegee_University.jpg,https://en.wikipedia.org/wiki/Tuskegee_University,"Open 1901–1932, now houses offices",Academic libraries,List of Carnegie libraries in Alabama
Phoenix,public,Phoenix,Arizona,United States,"Apr 26, 1902","$25,000",,1101 W Washington St.,33.4476722,-112.0869972,P-Phoenix_Carnegie_Library_and_Library_Park-1907.jpg,https://en.wikipedia.org/wiki/Phoenix_Carnegie_Library_and_Library_Park,"Closed after serving as the Phoenix Public Library from 1908 to 1953. Now the Carnegie Center, a multi-service center which includes the Arizona State Library. [1]",Carnegie libraries,List of Carnegie libraries in Arizona
Prescott,public,Prescott,Arizona,United States,"Jul 4, 1899","$4,000",,125 E Gurley St.,34.5416722,-112.4675889,OldPublicLibraryPrescott422.jpg,"https://en.wikipedia.org/wiki/Carnegie_Library_(Prescott,_Arizona)","Open from November 24, 1903, until 1975. The building is now home to several private businesses. [2]",Carnegie libraries,List of Carnegie libraries in Arizona
